member,party,chamber,state,district,bioguide_id,entity_group,giver,recipient_committee,recipient_committee_id,amount_usd,date,cycle,kind,fec_sub_id,source_url,record_id
Maria Elvira Salazar,R,House,FL,27,S000168,ARI PAC,ARI PAC,SALAZAR FOR CONGRESS,C00714261,1000.00,2026-06-09,2026,PAC contribution,4072720261538830179,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8683
Mariannette Miller-Meeks,R,House,IA,1,M001215,ARI PAC,ARI PAC,MILLER-MEEKS FOR CONGRESS,C00558825,1000.00,2026-03-18,2026,PAC contribution,4050120261498882161,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8610
Mariannette Miller-Meeks,R,House,IA,1,M001215,ARI PAC,ARI PAC,MILLER-MEEKS FOR CONGRESS,C00558825,1000.00,2026-06-09,2026,PAC contribution,4072720261538830172,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8680
Marie Gluesenkamp Perez,D,House,WA,3,G000600,Eric Schmidt,Eric Schmidt,MARIE FOR CONGRESS,C00806174,3300.00,2023-11-21,2024,individual contribution,4020720241823211930,https://docquery.fec.gov/cgi-bin/fecimg/?202401319618345265,HM3403
Marie Gluesenkamp Perez,D,House,WA,3,G000600,James McClave,James McClave,MARIE FOR CONGRESS,C00806174,3300.00,2024-09-28,2024,individual contribution,4012620261303640920,https://api.open.fec.gov/v1/schedules/schedule_a/?per_page=100&min_date=2015-01-01&sort=-contribution_receipt_date&contributor_name=McClave%2C+James&contributor_state=NY,HM5221
Marie Gluesenkamp Perez,D,House,WA,3,G000600,Anthropic employees,Anthropic employee,MARIE FOR CONGRESS,C00806174,2500.00,2026-01-19,2026,individual contribution,4051120261509924308,https://docquery.fec.gov/cgi-bin/fecimg/?202604159857600232,HM949
Mark R. Warner,D,Senate,VA,,W000805,ARI PAC,ARI PAC,FRIENDS OF MARK WARNER,C00438713,2500.00,2025-04-23,2026,PAC contribution,4073120251213020576,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8501
Mark R. Warner,D,Senate,VA,,W000805,ARI PAC,ARI PAC,FRIENDS OF MARK WARNER,C00438713,1000.00,2025-06-23,2026,PAC contribution,4073120251213020577,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8505
Mark R. Warner,D,Senate,VA,,W000805,ARI PAC,ARI PAC,FRIENDS OF MARK WARNER,C00438713,1500.00,2025-06-23,2026,PAC contribution,4073120251213020578,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8506
Mark R. Warner,D,Senate,VA,,W000805,ARI PAC,ARI PAC,FRIENDS OF MARK WARNER,,2500.00,2025-06-23,2026,PAC contribution,,https://lda.gov/api/v1/contributions/b9a8036e-d98c-4549-b059-bcfe107495a0/,HM9784
