member,party,chamber,state,district,bioguide_id,entity_group,giver,recipient_committee,recipient_committee_id,amount_usd,date,cycle,kind,fec_sub_id,source_url,record_id
Aaron Bean,R,House,FL,4,B001314,ARI PAC,ARI PAC,AARON BEAN FOR CONGRESS,C00816983,1000.00,2025-11-12,2026,PAC contribution,4022520261359193422,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8570
Aaron Bean,R,House,FL,4,B001314,ARI PAC,ARI PAC,AARON BEAN FOR CONGRESS,C00816983,1000.00,2026-07-10,2026,PAC contribution,4082520261584683663,https://api.open.fec.gov/v1/schedules/schedule_a/?sub_id=4082520261584683663,HM6941
Abraham J. Hamadeh,R,House,AZ,8,H001098,ARI PAC,ARI PAC,ABE FOR ARIZONA,C00853986,2500.00,2026-03-25,2026,PAC contribution,4050120261498882136,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8620
Adam B. Schiff,D,Senate,CA,,S001150,Eric Schmidt,Eric Schmidt,SCHIFF FOR SENATE,C00343871,3300.00,2024-04-01,2024,individual contribution,4091120251290849297,https://docquery.fec.gov/cgi-bin/fecimg/?202509099789974629,HM3340
Adam B. Schiff,D,Senate,CA,,S001150,Eric Schmidt,Eric Schmidt,SCHIFF FOR SENATE,C00343871,3300.00,2024-04-01,2024,individual contribution,4091120251290810826,https://docquery.fec.gov/cgi-bin/fecimg/?202509099789961805,HM3341
Adam Gray,D,House,CA,13,G000605,Eric Schmidt,Eric Schmidt,ADAM GRAY FOR CONGRESS,C00801431,3300.00,2023-11-21,2024,individual contribution,4051720241949557195,https://docquery.fec.gov/cgi-bin/fecimg/?202405169646027530,HM3394
Adam Gray,D,House,CA,13,G000605,James McClave,James McClave,ADAM GRAY FOR CONGRESS,C00801431,3300.00,2024-09-28,2024,individual contribution,4111320241068370632,https://api.open.fec.gov/v1/schedules/schedule_a/?per_page=100&min_date=2015-01-01&sort=-contribution_receipt_date&contributor_name=McClave%2C+James&contributor_state=NY,HM5210
Adam Gray,D,House,CA,13,G000605,Wendy Schmidt,Wendy Schmidt,ADAM GRAY FOR CONGRESS,C00801431,3500.00,2025-09-10,2026,individual contribution,4012720261303790479,https://docquery.fec.gov/cgi-bin/fecimg/?202601229794125522,HM4413
Adam Gray,D,House,CA,13,G000605,Wendy Schmidt,Wendy Schmidt,ADAM GRAY FOR CONGRESS,C00801431,3500.00,2025-09-10,2026,individual contribution,4012720261303789827,https://docquery.fec.gov/cgi-bin/fecimg/?202601229794125304,HM4414
Adam Gray,D,House,CA,13,G000605,Anthropic employees,Anthropic employee,ADAM GRAY FOR CONGRESS,C00801431,2500.00,2026-01-19,2026,individual contribution,4061120261521178022,https://docquery.fec.gov/cgi-bin/fecimg/?202605219870237129,HM948
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,7000.00,2026-04-17,2026,individual contribution,4081720261581116481,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416195,HM1081
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,7000.00,2026-04-18,2026,individual contribution,4081720261581117158,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416421,HM1088
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,3500.00,2026-04-20,2026,individual contribution,4081720261581115921,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416008,HM1093
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,3500.00,2026-04-20,2026,individual contribution,4081720261581115923,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416009,HM1094
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,3500.00,2026-04-30,2026,individual contribution,4081720261581115954,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416019,HM1117
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,3500.00,2026-04-30,2026,individual contribution,4081720261581115956,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416020,HM1118
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,3500.00,2026-05-03,2026,individual contribution,4081720261581116004,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416036,HM1157
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,1500.00,2026-05-03,2026,individual contribution,4081720261581116006,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416037,HM1158
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,3500.00,2026-05-04,2026,individual contribution,4081720261581116251,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416118,HM1164
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,1500.00,2026-05-04,2026,individual contribution,4081720261581116253,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416119,HM1165
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,1500.00,2026-05-04,2026,individual contribution,4081720261581116308,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416137,HM1166
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,3500.00,2026-05-04,2026,individual contribution,4081720261581116312,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416139,HM1167
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,3500.00,2026-05-04,2026,individual contribution,4081720261581117141,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416415,HM1168
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,1500.00,2026-05-04,2026,individual contribution,4081720261581117143,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416416,HM1169
Adam Smith,D,House,WA,9,S000510,Anthropic employees,Anthropic employee,ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,2000.00,2026-05-07,2026,individual contribution,4081720261581116310,https://docquery.fec.gov/cgi-bin/fecimg/?202607229894416138,HM1195
Adriano Espaillat,D,House,NY,13,E000297,ARI PAC,ARI PAC,ADRIANO ESPAILLAT FOR CONGRESS,C00701953,1000.00,2026-01-27,2026,PAC contribution,4050120261498882137,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8595
Andrew R. Garbarino,R,House,NY,2,G000597,ARI PAC,ARI PAC,GARBARINO FOR CONGRESS,C00729954,1000.00,2026-05-12,2026,PAC contribution,4061720261521567423,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8652
Andrew R. Garbarino,R,House,NY,2,G000597,Anthropic employees,Anthropic employee,GARBARINO FOR CONGRESS,C00729954,3500.00,2026-06-24,2026,individual contribution,4080420261549231808,https://docquery.fec.gov/cgi-bin/fecimg/?202607159876009688,HM1515
Andrew S. Clyde,R,House,GA,9,C001116,ARI PAC,ARI PAC,"CLYDE FOR CONGRESS, INC.",C00740100,2500.00,2025-08-14,2026,PAC contribution,4022520261359193434,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8524
Andy Harris,R,House,MD,1,H001052,Anthropic employees,Anthropic employee,CHESAPEAKE FREEDOM PAC,C00492819,5000.00,2026-08-10,2026,individual contribution,4091820261598860676,https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_employer=ANTHROPIC&two_year_transaction_period=2026,HM19867
Andy Harris,R,House,MD,1,H001052,Anthropic employees,Anthropic employee,CHESAPEAKE FREEDOM PAC,C00492819,5000.00,2026-08-31,2026,individual contribution,4091820261598860673,https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_employer=ANTHROPIC&two_year_transaction_period=2026,HM19857
Andy Kim,D,Senate,NJ,,K000394,Schmidt organisations / Hillspire staff,Schmidt organisation / Hillspire staff member,ANDY KIM FOR NEW JERSEY,C00648220,250.00,2023-09-30,2024,individual contribution,4022820241858332933,https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_employer=SCHMIDT+FUTURES&two_year_transaction_period=2024&per_page=100&sort=contribution_receipt_date&sub_id=4022820241858332933,HM13754
Andy Kim,D,Senate,NJ,,K000394,Schmidt organisations / Hillspire staff,Schmidt organisation / Hillspire staff member,ANDY KIM FOR NEW JERSEY,C00648220,250.00,2023-11-14,2024,individual contribution,4053020241951379921,https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_employer=SCHMIDT+FUTURES&two_year_transaction_period=2024&per_page=100&sort=contribution_receipt_date&sub_id=4053020241951379921,HM13757
Angela D. Alsobrooks,D,Senate,MD,,A000382,Wendy Schmidt,Wendy Schmidt,ALSOBROOKS FOR SENATE,C00840017,3300.00,2024-08-22,2024,individual contribution,4111920241070879259,https://docquery.fec.gov/cgi-bin/fecimg/?202410159689173103,HM4603
Angela D. Alsobrooks,D,Senate,MD,,A000382,James McClave,James McClave,ALSOBROOKS FOR SENATE,C00840017,3300.00,2024-09-30,2024,individual contribution,4111920241070863888,https://api.open.fec.gov/v1/schedules/schedule_a/?per_page=100&min_date=2015-01-01&sort=-contribution_receipt_date&contributor_name=McClave%2C+James&contributor_state=NY,HM5190
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-06-30,2026,individual contribution,4073020261539710938,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890650562,HM1537
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-06-30,2026,individual contribution,4073020261539710940,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890650562,HM1538
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-06-30,2026,individual contribution,4073020261539714298,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890651682,HM1539
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-06-30,2026,individual contribution,4073020261539717562,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890652770,HM1541
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-06-30,2026,individual contribution,4073020261539717564,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890652770,HM1542
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-06-30,2026,individual contribution,4091520261598458954,https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_employer=ANTHROPIC%2C+PBC&two_year_transaction_period=2026&per_page=100&sort=contribution_receipt_date&sub_id=4091520261598458954,HM16062
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-07-01,2026,individual contribution,4081820261583866824,https://docquery.fec.gov/cgi-bin/fecimg/?202607309899250717,HM1543
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-07-01,2026,individual contribution,4081820261583866826,https://docquery.fec.gov/cgi-bin/fecimg/?202607309899250718,HM1544
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-07-01,2026,individual contribution,4081820261583867583,https://docquery.fec.gov/cgi-bin/fecimg/?202607309899250970,HM1545
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-07-01,2026,individual contribution,4081820261583867585,https://docquery.fec.gov/cgi-bin/fecimg/?202607309899250971,HM1546
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,1000.00,2026-07-01,2026,individual contribution,4081820261583871471,https://docquery.fec.gov/cgi-bin/fecimg/?202607309899252266,HM1547
Angie Craig,D,House,MN,2,C001119,Coefficient Giving / Open Philanthropy staff,Coefficient / Open Philanthropy staff member,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-07-01,2026,individual contribution,4081820261583866412,https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_employer=COEFFICIENT+GIVING&two_year_transaction_period=2026&per_page=100&sort=contribution_receipt_date&sub_id=4081820261583866412,HM13181
Angie Craig,D,House,MN,2,C001119,Coefficient Giving / Open Philanthropy staff,Coefficient / Open Philanthropy staff member,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-07-01,2026,individual contribution,4081820261583866414,https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_employer=COEFFICIENT+GIVING&two_year_transaction_period=2026&per_page=100&sort=contribution_receipt_date&sub_id=4081820261583866414,HM13182
Angie Craig,D,House,MN,2,C001119,Coefficient Giving / Open Philanthropy staff,Coefficient / Open Philanthropy staff member,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-07-01,2026,individual contribution,4081820261583872400,https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_employer=COEFFICIENT+GIVING&two_year_transaction_period=2026&per_page=100&sort=contribution_receipt_date&sub_id=4081820261583872400,HM13183
Angie Craig,D,House,MN,2,C001119,Coefficient Giving / Open Philanthropy staff,Coefficient / Open Philanthropy staff member,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-07-01,2026,individual contribution,4081820261583872402,https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_employer=COEFFICIENT+GIVING&two_year_transaction_period=2026&per_page=100&sort=contribution_receipt_date&sub_id=4081820261583872402,HM13184
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-07-02,2026,individual contribution,4081820261583866934,https://docquery.fec.gov/cgi-bin/fecimg/?202607309899250754,HM1548
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-07-02,2026,individual contribution,4081820261583866936,https://docquery.fec.gov/cgi-bin/fecimg/?202607309899250755,HM1549
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-07-02,2026,individual contribution,4081820261583867669,https://docquery.fec.gov/cgi-bin/fecimg/?202607309899250999,HM1550
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-07-10,2026,individual contribution,4081820261583869648,https://docquery.fec.gov/cgi-bin/fecimg/?202607309899251659,HM1557
Angie Craig,D,House,MN,2,C001119,Anthropic employees,Anthropic employee,ANGIE CRAIG FOR MINNESOTA,C00903690,3500.00,2026-07-10,2026,individual contribution,4081820261583869650,https://docquery.fec.gov/cgi-bin/fecimg/?202607309899251659,HM1558
April McClain Delaney,D,House,MD,6,M001232,ARI PAC,ARI PAC,APRIL MCCLAIN DELANEY FOR CONGRESS,C00854471,1000.00,2026-03-18,2026,PAC contribution,4050120261498882138,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8605
April McClain Delaney,D,House,MD,6,M001232,Anthropic employees,Anthropic employee,APRIL MCCLAIN DELANEY FOR CONGRESS,C00854471,3500.00,2026-06-24,2026,individual contribution,4080620261570397370,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875381704,HM1517
April McClain Delaney,D,House,MD,6,M001232,Anthropic employees,Anthropic employee,APRIL MCCLAIN DELANEY FOR CONGRESS,C00854471,3500.00,2026-06-26,2026,individual contribution,4080620261570397381,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875381707,HM1519
April McClain Delaney,D,House,MD,6,M001232,Anthropic employees,Anthropic employee,APRIL MCCLAIN DELANEY FOR CONGRESS,C00854471,3500.00,2026-06-29,2026,individual contribution,4080620261570397273,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875381671,HM1528
Ben Cline,R,House,VA,6,C001118,ARI PAC,ARI PAC,"BEN CLINE FOR CONGRESS, INC.",C00661561,1000.00,2025-12-18,2026,PAC contribution,4022520261359193425,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8588
Ben Cline,R,House,VA,6,C001118,ARI PAC,ARI PAC,"BEN CLINE FOR CONGRESS, INC.",C00661561,1000.00,2026-05-12,2026,PAC contribution,4061720261521567414,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8650
Bill Cassidy,R,Senate,LA,,C001075,Anthropic employees,Anthropic employee,BILL CASSIDY FOR US SENATE,C00543983,3500.00,2026-03-14,2026,individual contribution,4041620261435926829,https://docquery.fec.gov/cgi-bin/fecimg/?202604149857220051,HM1035
Bill Foster,D,House,IL,11,F000454,Eric Schmidt,Eric Schmidt,BILL FOSTER FOR CONGRESS,C00435099,3300.00,2023-08-01,2024,individual contribution,4101320231804478408,https://docquery.fec.gov/cgi-bin/fecimg/?202310139597555830,HM3420
Bill Foster,D,House,IL,11,F000454,Eric Schmidt,Eric Schmidt,BILL FOSTER FOR CONGRESS,C00435099,3300.00,2024-08-08,2024,individual contribution,4111520241068938650,https://docquery.fec.gov/cgi-bin/fecimg/?202410159686608099,HM3225
Bill Foster,D,House,IL,11,F000454,Anthropic employees,Anthropic employee,BILL FOSTER FOR CONGRESS,C00435099,3500.00,2026-03-12,2026,individual contribution,4051520261510431966,https://docquery.fec.gov/cgi-bin/fecimg/?202604159862535518,HM1031
Bill Foster,D,House,IL,11,F000454,Anthropic employees,Anthropic employee,BILL FOSTER FOR CONGRESS,C00435099,3500.00,2026-03-12,2026,individual contribution,4051520261510431996,https://docquery.fec.gov/cgi-bin/fecimg/?202604159862535528,HM1032
Bill Foster,D,House,IL,11,F000454,Anthropic employees,Anthropic employee,BILL FOSTER FOR CONGRESS,C00435099,3500.00,2026-05-07,2026,individual contribution,4080820261570607314,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875730192,HM1196
Bill Foster,D,House,IL,11,F000454,Anthropic employees,Anthropic employee,BILL FOSTER FOR CONGRESS,C00435099,3500.00,2026-05-11,2026,individual contribution,4080820261570607386,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875730216,HM1209
Bill Huizenga,R,House,MI,4,H001058,Anthropic employees,Anthropic employee,HUIZENGA FOR CONGRESS,C00459297,3500.00,2026-05-20,2026,individual contribution,4082420261584564807,https://docquery.fec.gov/cgi-bin/fecimg/?202608039899316095,HM1283
Bill Huizenga,R,House,MI,4,H001058,Anthropic employees,Anthropic employee,HUIZENGA FOR CONGRESS,C00459297,3500.00,2026-05-20,2026,individual contribution,4082420261584564808,https://docquery.fec.gov/cgi-bin/fecimg/?202608039899316095,HM1284
Bill Huizenga,R,House,MI,4,H001058,Anthropic employees,Anthropic employee,HUIZENGA FOR CONGRESS,C00459297,3500.00,2026-05-27,2026,individual contribution,4082420261584563329,https://docquery.fec.gov/cgi-bin/fecimg/?202608039899315602,HM1338
Bill Huizenga,R,House,MI,4,H001058,Anthropic employees,Anthropic employee,HUIZENGA FOR CONGRESS,C00459297,3500.00,2026-05-27,2026,individual contribution,4082420261584563330,https://docquery.fec.gov/cgi-bin/fecimg/?202608039899315603,HM1339
Bill Huizenga,R,House,MI,4,H001058,Anthropic employees,Anthropic employee,HUIZENGA FOR CONGRESS,C00459297,3500.00,2026-05-27,2026,individual contribution,4082420261584564837,https://docquery.fec.gov/cgi-bin/fecimg/?202608039899316105,HM1340
Bill Huizenga,R,House,MI,4,H001058,Anthropic employees,Anthropic employee,HUIZENGA FOR CONGRESS,C00459297,3500.00,2026-05-27,2026,individual contribution,4082420261584564838,https://docquery.fec.gov/cgi-bin/fecimg/?202608039899316105,HM1341
Bill Huizenga,R,House,MI,4,H001058,ARI PAC,ARI PAC,HUIZENGA FOR CONGRESS,C00459297,2000.00,2026-06-09,2026,PAC contribution,4072720261538830165,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8675
Bill Huizenga,R,House,MI,4,H001058,ANTHROPAC (Anthropic's PAC),ANTHROPAC,HUIZENGA FOR CONGRESS,C00459297,2500.00,2026-06-29,2026,PAC contribution,4072920261539583675,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00946111&sub_id=4072920261539583675,HM335
Brad Knott,R,House,NC,13,K000405,ARI PAC,ARI PAC,BRAD KNOTT FOR CONGRESS,C00855361,1000.00,2026-06-23,2026,PAC contribution,4072720261538830155,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8686
Brad Knott,R,House,NC,13,K000405,ARI PAC,ARI PAC,BRAD KNOTT FOR CONGRESS,C00855361,1000.00,2026-06-30,2026,PAC contribution,4080420261541123153,https://api.open.fec.gov/v1/schedules/schedule_a/?sub_id=4080420261541123153,HM6945
Brett Guthrie,R,House,KY,2,G000558,ARI PAC,ARI PAC,GUTHRIE FOR CONGRESS,C00445023,1000.00,2025-09-17,2026,PAC contribution,4022520261359193448,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8548
Brett Guthrie,R,House,KY,2,G000558,Anthropic employees,Jared Powell,GUTHRIE FOR CONGRESS,C00445023,500.00,2025-12-08,2026,individual contribution,4030920261411588463,https://docquery.fec.gov/cgi-bin/fecimg/?202601319825883164,HM908
Brett Guthrie,R,House,KY,2,G000558,Anthropic employees,Anthropic employee,GUTHRIE FOR CONGRESS,C00445023,3500.00,2026-01-26,2026,individual contribution,4050720261509690017,https://docquery.fec.gov/cgi-bin/fecimg/?202604159863062675,HM958
Brett Guthrie,R,House,KY,2,G000558,Anthropic employees,Anthropic employee,GUTHRIE FOR CONGRESS,C00445023,3500.00,2026-01-26,2026,individual contribution,4050720261509690019,https://docquery.fec.gov/cgi-bin/fecimg/?202604159863062676,HM959
Brett Guthrie,R,House,KY,2,G000558,Anthropic employees,Anthropic employee,GUTHRIE FOR CONGRESS,C00445023,3500.00,2026-01-27,2026,individual contribution,4050720261509689931,https://docquery.fec.gov/cgi-bin/fecimg/?202604159863062646,HM967
Brett Guthrie,R,House,KY,2,G000558,Anthropic employees,Anthropic employee,GUTHRIE FOR CONGRESS,C00445023,3500.00,2026-02-02,2026,individual contribution,4050720261509689933,https://docquery.fec.gov/cgi-bin/fecimg/?202604159863062647,HM997
Brett Guthrie,R,House,KY,2,G000558,ARI PAC,ARI PAC,GUTHRIE FOR CONGRESS,C00445023,2000.00,2026-03-31,2026,PAC contribution,4050120261498882146,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8630
Brian Babin,R,House,TX,36,B001291,ARI PAC,ARI PAC,DR. BRIAN BABIN FOR CONGRESS,C00553859,2500.00,2026-06-09,2026,PAC contribution,4072720261538830158,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8670
Brian J. Mast,R,House,FL,21,M001199,ARI PAC,ARI PAC,MAST FOR CONGRESS,C00632257,2500.00,2025-06-23,2026,PAC contribution,4073120251213020586,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8510
Brian J. Mast,R,House,FL,21,M001199,Anthropic employees,Anthropic employee,MAST FOR CONGRESS,C00632257,5000.00,2025-10-06,2026,individual contribution,4012320261303383685,https://docquery.fec.gov/cgi-bin/fecimg/?202601139793964247,HM782
Brian J. Mast,R,House,FL,21,M001199,Anthropic employees,Anthropic employee,MAST FOR CONGRESS,C00632257,7000.00,2026-05-01,2026,individual contribution,4071520261534184075,https://docquery.fec.gov/cgi-bin/fecimg/?202607099874819712,HM1128
Brian J. Mast,R,House,FL,21,M001199,Anthropic employees,Anthropic employee,MAST FOR CONGRESS,C00632257,7000.00,2026-05-01,2026,individual contribution,4071520261534184788,https://docquery.fec.gov/cgi-bin/fecimg/?202607099874819949,HM1131
Brian J. Mast,R,House,FL,21,M001199,Anthropic employees,Anthropic employee,MAST FOR CONGRESS,C00632257,7000.00,2026-05-04,2026,individual contribution,4071520261534184304,https://docquery.fec.gov/cgi-bin/fecimg/?202607099874819788,HM1175
Brian J. Mast,R,House,FL,21,M001199,ANTHROPAC (Anthropic's PAC),ANTHROPAC,MAST FOR CONGRESS,C00632257,2500.00,2026-07-07,2026,PAC contribution,4090120261595617360,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00946111&sub_id=4090120261595617360,HM319
Brian K. Fitzpatrick,R,House,PA,1,F000466,ARI PAC,ARI PAC,BRIAN FITZPATRICK FOR ALL OF US,C00607416,1000.00,2025-09-25,2026,PAC contribution,4022520261359193427,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8558
Brian K. Fitzpatrick,R,House,PA,1,F000466,ARI PAC,ARI PAC,BRIAN FITZPATRICK FOR ALL OF US,C00607416,1500.00,2025-11-12,2026,PAC contribution,4022520261359193428,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8571
Brian K. Fitzpatrick,R,House,PA,1,F000466,ARI PAC,ARI PAC,BRIAN FITZPATRICK FOR ALL OF US,C00607416,1000.00,2026-03-18,2026,PAC contribution,4050120261498882140,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8606
Brian K. Fitzpatrick,R,House,PA,1,F000466,ARI PAC,ARI PAC,BRIAN FITZPATRICK FOR ALL OF US,C00607416,1500.00,2026-03-18,2026,PAC contribution,4050120261498882141,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8607
Brian Schatz,D,Senate,HI,,S001194,Anthropic employees,Anthropic employee,SCHATZ FOR SENATE,C00540732,3500.00,2025-08-28,2026,individual contribution,4123120251299827742,https://docquery.fec.gov/cgi-bin/fecimg/?202510159791038915,HM745
Brian Schatz,D,Senate,HI,,S001194,Anthropic employees,Anthropic employee,SCHATZ FOR SENATE,C00540732,3500.00,2025-08-28,2026,individual contribution,4123120251299827817,https://docquery.fec.gov/cgi-bin/fecimg/?202510159791038940,HM746
